0,478,2.34
1000,479,2.34
2000,478,2.34
3002,482,2.36
4002,480,2.35
5003,480,2.35
6003,484,2.37
7005,485,2.37
8005,479,2.34
9006,480,2.35
10007,484,2.37
11008,482,2.36
12008,482,2.36
13009,480,2.35
14010,484,2.37
15010,493,2.41
16012,496,2.42
17012,498,2.43
18013,499,2.44
19014,498,2.43
20015,493,2.41
21015,490,2.39
22017,487,2.38
23017,478,2.34
24017,479,2.34
25019,484,2.37
26019,487,2.38
27020,490,2.39
28021,493,2.41
29022,495,2.42
30022,498,2.43
31024,500,2.44
32024,501,2.45
33025,496,2.42
34026,498,2.43
35026,498,2.43
36027,499,2.44
37028,498,2.43
38029,493,2.41
39029,490,2.39
40031,487,2.38
41031,478,2.34
42032,479,2.34
43033,484,2.37
44034,487,2.38
45034,490,2.39
46035,493,2.41
47036,495,2.42
48037,498,2.43
49038,500,2.44
50038,490,2.39
51040,493,2.41
52040,495,2.42
53041,497,2.43
54042,499,2.44
55043,474,2.32
56043,475,2.32
57044,477,2.33
58045,479,2.34
59045,482,2.36
60047,483,2.36
61047,485,2.37
62048,486,2.38
63049,483,2.36
64050,477,2.33
65050,480,2.35
66052,482,2.36
67052,481,2.35
68052,483,2.36
69054,484,2.37
70054,486,2.38
71055,487,2.38
72056,486,2.38
73057,477,2.33
74057,480,2.35
75059,467,2.28
76059,462,2.26
77060,460,2.25
78061,463,2.26
79062,463,2.26
80062,465,2.27
81063,486,2.38
82064,477,2.33
83064,480,2.35
84066,467,2.28
85066,462,2.26
86067,460,2.25
87068,463,2.26
88069,483,2.36
89069,470,2.3
90071,474,2.32
91071,475,2.32
92071,477,2.33
93073,479,2.34
94073,482,2.36
95074,483,2.36
96075,485,2.37
97076,486,2.38
98077,483,2.36
99078,477,2.33
100078,480,2.35
101080,482,2.36
102080,481,2.35
103080,483,2.36
104082,484,2.37
105082,486,2.38
106083,487,2.38
107084,486,2.38
108085,477,2.33
109086,480,2.35
110087,482,2.36
111087,482,2.36
112089,483,2.36
113089,483,2.36
114091,484,2.37
115091,484,2.37
116091,487,2.38
