0,485,2.37
1000,479,2.34
2000,478,2.34
3002,482,2.36
4002,483,2.36
5003,483,2.36
6003,484,2.37
7005,485,2.37
8005,479,2.34
9006,471,2.3
10007,484,2.37
11008,487,2.38
12008,488,2.39
13009,491,2.4
14010,484,2.37
15010,493,2.41
16012,496,2.42
17012,498,2.43
18013,499,2.44
19014,498,2.43
20015,493,2.41
21015,490,2.39
22017,487,2.38
23017,478,2.34
24017,479,2.34
25019,484,2.37
26019,487,2.38
27020,490,2.39
28021,493,2.41
29022,495,2.42
30022,498,2.43
31024,500,2.44
32024,501,2.45
33025,496,2.42
34026,498,2.43
35026,492,2.4
36027,493,2.41
37028,485,2.37
38029,470,2.3
39029,474,2.32
40031,474,2.32
41031,481,2.35
42032,482,2.36
43033,475,2.32
44034,480,2.35
45034,485,2.37
46035,488,2.39
47036,490,2.39
48037,491,2.4
49038,491,2.4
50038,490,2.39
51040,493,2.41
52040,495,2.42
53041,497,2.43
54042,499,2.44
55043,501,2.45
56043,500,2.44
57044,499,2.44
58045,498,2.43
59045,499,2.44
60047,500,2.44
61047,486,2.38
62048,463,2.26
63049,471,2.3
64050,436,2.13
65050,463,2.26
66052,429,2.1
67052,132,0.65
68052,455,2.22
69054,423,2.07
70054,459,2.24
71055,459,2.24
72056,469,2.29
73057,472,2.31
74057,464,2.27
75059,467,2.28
76059,462,2.26
77060,460,2.25
78061,463,2.26
79062,463,2.26
80062,465,2.27
81063,470,2.3
82064,471,2.3
83064,475,2.32
84066,478,2.34
85066,480,2.35
86067,480,2.35
87068,482,2.36
88069,483,2.36
89069,470,2.3
90071,474,2.32
91071,475,2.32
92071,477,2.33
93073,479,2.34
94073,482,2.36
95074,483,2.36
96075,485,2.37
97076,486,2.38
98077,483,2.36
99078,477,2.33
100078,480,2.35
101080,482,2.36
102080,481,2.35
103080,483,2.36
104082,484,2.37
105082,486,2.38
106083,487,2.38
107084,486,2.38
108085,477,2.33
109086,480,2.35
110087,482,2.36
111087,482,2.36
112089,483,2.36
113089,483,2.36
114091,484,2.37
115091,484,2.37
116091,487,2.38
