0,535,2.61
1000,495,2.42
2000,483,2.36
3002,488,2.39
4002,489,2.39
5003,491,2.4
6003,490,2.39
7005,490,2.39
8005,499,2.44
9006,505,2.47
10007,486,2.38
11008,490,2.39
12008,488,2.39
13009,494,2.41
14010,490,2.39
15010,499,2.44
16012,502,2.45
17012,505,2.47
18013,511,2.5
19014,520,2.54
20015,522,2.55
21015,527,2.58
22017,526,2.57
23017,531,2.6
24017,483,2.36
25019,492,2.4
26019,496,2.42
27020,505,2.47
28021,509,2.49
29022,509,2.49
30022,503,2.46
31024,509,2.49
32024,516,2.52
33025,519,2.54
34026,519,2.54
35026,522,2.55
36027,531,2.6
37028,535,2.61
38029,539,2.63
39029,541,2.64
40031,543,2.65
41031,538,2.63
42032,537,2.62
43033,540,2.64
44034,538,2.63
45034,541,2.64
46035,542,2.65
47036,543,2.65
48037,542,2.65
49038,542,2.65
50038,542,2.65
51040,543,2.65
52040,545,2.66
53041,546,2.67
54042,544,2.66
55043,542,2.65
56043,542,2.65
57044,543,2.65
58045,543,2.65
59045,544,2.66
60047,543,2.65
61047,541,2.64
62048,540,2.64
63049,540,2.64
64050,539,2.63
65050,535,2.61
66052,524,2.56
67052,514,2.51
68052,506,2.47
69054,504,2.46
70054,509,2.49
71055,519,2.54
72056,524,2.56
73057,521,2.55
74057,522,2.55
75059,527,2.58
76059,533,2.61
77060,534,2.61
78061,536,2.62
79062,537,2.62
80062,538,2.63
81063,539,2.63
82064,540,2.64
83064,541,2.64
84066,542,2.65
85066,543,2.65
86067,542,2.65
87068,543,2.65
88069,542,2.65
89069,541,2.64
90071,538,2.63
91071,540,2.64
92071,540,2.64
93073,539,2.63
94073,540,2.64
95075,541,2.64
96075,543,2.65
97076,541,2.64
98077,542,2.65
99078,537,2.62
100078,539,2.63
101080,539,2.63
102080,540,2.64
103080,540,2.64
104082,540,2.64
105082,539,2.63
106084,540,2.64
107084,541,2.64
108085,540,2.64
109086,540,2.64
110087,541,2.64
111087,541,2.64
112089,539,2.63
113089,541,2.64
114091,541,2.64
115091,540,2.64
116091,538,2.63
117093,536,2.62
118093,535,2.61
119095,538,2.63
120095,479,2.34
121096,480,2.35
122097,487,2.38
123098,496,2.42
124098,503,2.46
125100,506,2.47
126100,475,2.32
127101,486,2.38
128102,497,2.43
129102,504,2.46
130104,500,2.44
131104,487,2.38
132105,494,2.41
133106,492,2.4
134107,496,2.42
135108,505,2.47
136109,513,2.51
137109,522,2.55
138110,501,2.45
139111,506,2.47
140112,514,2.51
141113,512,2.5
142113,516,2.52
143115,477,2.33
144115,484,2.37
145117,488,2.39
146117,497,2.43
147118,504,2.46
148119,512,2.5
149120,514,2.51
150120,524,2.56
151121,516,2.52
152122,526,2.57
153123,526,2.57
154124,531,2.6
155124,535,2.61
156126,532,2.6
157126,516,2.52
158128,513,2.51
159128,521,2.55
160129,519,2.54
161130,513,2.51
162130,520,2.54
163131,516,2.52
164132,524,2.56
165133,529,2.59
166134,532,2.6
167135,535,2.61
168135,531,2.6
169137,532,2.6
170137,493,2.41
171138,479,2.34
172139,483,2.36
173139,481,2.35
174141,483,2.36
175141,814,3.98
176142,1009,4.93
177143,1012,4.95
178144,1012,4.95
179145,1013,4.95
180146,1013,4.95
181147,1013,4.95
182148,1013,4.95
183148,1013,4.95
184150,1013,4.95
